#Table1
plate,fiberid,mjd,z,zwarning,class,specObjID,h_beta_flux,h_beta_flux_err,h_alpha_flux,h_alpha_flux_err,OIII_5007_flux,OIII_5007_flux_err,OIII_4959_flux,OIII_4959_flux_err,OIII_4363_flux,OIII_4363_flux_err,NII_6548_flux,NII_6548_flux_err,NII_6584_flux,NII_6584_flux_err,SII_6717_flux,SII_6717_flux_err,SII_6731_flux,SII_6731_flux_err,OII_3726_flux,OII_3726_flux_err,OII_3729_flux,OII_3729_flux_err
490,155,51929,0.07758131,0,GALAXY,551733592791738368,26.6233,2.191223,279.9225,4.188179,30.80742,2.439539,11.28231,2.376867,8.086085,2.259318,94.9462,1.345013,286.3797,4.056867,133.0964,4.213834,81.63383,3.68609,23.4437,4.899238,63.58136,5.027912
1755,163,53386,0.1416982,0,GALAXY,1975999198415316992,33.71111,3.979405,386.5762,6.96268,16.50845,4.26696,11.95873,4.255639,1.655072,4.028384,96.16444,2.072067,290.0542,6.249825,42.66571,4.624587,36.68158,4.491092,30.57949,5.218593,40.85188,5.301661
1850,528,53786,0.06916727,0,QSO,2083060026712287232,38.86354,4.538121,441.4816,7.705837,342.745,5.242257,109.833,4.045944,6.822696,3.820744,89.76981,1.856985,270.7665,5.601089,35.79157,3.159721,42.65341,3.165687,23.74,8.018235,82.30184,8.839979
723,596,52201,0.06500977,0,QSO,814189496806434816,159.5205,4.649817,1930.971,15.52319,370.0214,4.868611,114.8651,3.301361,14.28704,2.475948,150.5741,2.70962,454.1663,8.17283,38.71886,3.046652,16.65833,2.977936,34.11367,5.197559,46.40578,5.376914
882,589,52370,0.06315915,0,GALAXY,993205660684412928,83.10341,3.066301,832.7147,8.772003,68.87142,3.560325,25.56385,3.270986,2.155447,3.06387,188.3972,2.072886,568.2493,6.252295,144.6485,4.146345,142.3533,4.211552,69.20274,5.403584,66.32796,5.470592
883,75,52430,0.05702923,0,GALAXY,994190274353719296,56.90227,7.006011,572.3018,14.91785,128.6012,7.61803,38.50309,7.128652,12.15597,7.153591,313.8578,4.630561,946.6678,13.96683,254.639,7.856053,170.1118,7.436908,336.4706,17.88246,96.37612,17.94287
1627,561,53473,0.1188212,0,GALAXY,1831993413206042624,33.08862,2.880734,369.5986,6.060093,17.15096,3.028108,9.753801,2.940733,2.728521,2.993476,75.12188,1.635481,226.5849,4.932983,63.8757,3.33812,53.21453,3.365845,34.95922,5.584228,26.93175,5.491549
1739,77,53050,0.03041632,0,GALAXY,1957961154768693248,14.08316,2.790284,157.4961,3.409344,82.32294,3.289908,27.31502,2.687359,0.2091967,2.940474,30.47322,0.8791468,91.91428,2.651707,42.76336,2.62253,30.67352,2.247749,25.80617,7.175267,34.85719,7.283716
671,197,52206,0.271421,0,GALAXY,755533025449633792,8.549641,0.9519188,95.91388,18.753,5.826846,1.355646,10.58218,5.381996,1.12345,1.198206,5.995996,0.6546187,18.08531,1.974479,11.28165,2.511233,5.877549,1.57289,5.097695,1.870459,12.43185,1.936855
1693,97,53446,0.06222546,0,GALAXY,1906175263255848960,15.48378,3.012884,190.2212,4.907358,29.87294,3.426525,11.76719,3.342731,0.9721422,3.358009,71.11668,1.565717,214.5043,4.72256,78.24138,3.695787,51.99513,3.540859,65.37958,9.491421,66.38829,9.674209
